train_losses,val_losses,val_accuracies,test_loss,test_accuracy
1.2906599938869476,1.1039090156555176,0.35,9.091450435031827e-05,1.0
3.009786605834961,1.0284419059753418,0.35,9.091450435031827e-05,1.0
0.4325385242700577,0.966461718082428,0.3611111111111111,9.091450435031827e-05,1.0
0.534806452691555,0.6008427143096924,0.6333333333333333,9.091450435031827e-05,1.0
0.08104686252772808,0.6084745526313782,0.8888888888888888,9.091450435031827e-05,1.0
0.047036558389663696,0.9199768304824829,0.8111111111111111,9.091450435031827e-05,1.0
0.04561186721548438,1.1164106130599976,0.8388888888888889,9.091450435031827e-05,1.0
0.02395455539226532,0.8765124082565308,0.8777777777777778,9.091450435031827e-05,1.0
0.02687762980349362,0.4010593295097351,0.8833333333333333,9.091450435031827e-05,1.0
0.007924656616523862,0.017680050805211067,1.0,9.091450435031827e-05,1.0
0.02139707957394421,0.0037622603122144938,1.0,9.091450435031827e-05,1.0
0.004796830820851028,0.0011172965168952942,1.0,9.091450435031827e-05,1.0
0.004140443634241819,0.0006463861791417003,1.0,9.091450435031827e-05,1.0
0.0056469580449629575,0.0003921131428796798,1.0,9.091450435031827e-05,1.0
0.0032407257094746456,0.0003240414953324944,1.0,9.091450435031827e-05,1.0
0.002424896076263394,0.0002876833314076066,1.0,9.091450435031827e-05,1.0
0.002477687259670347,0.00018095703853759915,1.0,9.091450435031827e-05,1.0
0.0010916564497165382,0.00015738379443064332,1.0,9.091450435031827e-05,1.0
0.0011877640499733388,0.00011933328642044216,1.0,9.091450435031827e-05,1.0
0.0006968265952309594,0.00011102952703367919,1.0,9.091450435031827e-05,1.0
